wave_id,province,province_zh,variant,start,end,duration_days,peak_cases,peak_date,total_cases,positive_days,zero_days,negative_revisions,selection_rationale,source_scope
X001,Beijing,北京,Omicron,2022-06-08,2022-07-10,33,42.0,2022-06-13,274.0,30,3,0,June Beijing cluster,JHU CSSE province-level cumulative confirmed cases
X002,Anhui,安徽,Omicron,2022-06-29,2022-07-24,26,81.0,2022-07-05,439.0,23,3,0,July Suzhou/Si County wave,JHU CSSE province-level cumulative confirmed cases
X003,Gansu,甘肃,Omicron,2022-07-08,2022-08-02,26,53.0,2022-07-16,651.0,25,1,0,July Gansu wave,JHU CSSE province-level cumulative confirmed cases
X004,Guangxi,广西,Omicron,2022-07-16,2022-08-18,34,135.0,2022-07-18,602.0,32,2,0,July Beihai-centered wave,JHU CSSE province-level cumulative confirmed cases
X005,Hainan,海南,Omicron,2022-08-01,2022-09-09,40,1683.0,2022-08-14,8618.0,36,4,0,August Hainan wave,JHU CSSE province-level cumulative confirmed cases
X006,Tibet,西藏,Omicron,2022-08-09,2022-10-23,76,139.0,2022-08-22,1454.0,65,11,0,August-October prolonged wave,JHU CSSE province-level cumulative confirmed cases
X007,Xinjiang,新疆,Omicron,2022-08-11,2022-09-26,47,16.0,2022-08-29,161.0,37,10,0,August-September low-count wave,JHU CSSE province-level cumulative confirmed cases
X008,Heilongjiang,黑龙江,Omicron,2022-08-12,2022-10-21,71,67.0,2022-09-02,463.0,59,12,0,August-October multi-stage wave,JHU CSSE province-level cumulative confirmed cases
X009,Sichuan,四川,Omicron,2022-08-10,2022-10-20,72,169.0,2022-08-28,3428.0,71,1,0,late-August Chengdu-centered wave,JHU CSSE province-level cumulative confirmed cases
X010,Inner Mongolia,内蒙古,Omicron,2022-09-30,2022-10-31,32,256.0,2022-10-07,1758.0,31,1,0,October Inner Mongolia wave,JHU CSSE province-level cumulative confirmed cases
