wave_id,province,province_zh,date,day,reported_confirmed
X001,Beijing,北京,2022-06-08,0,2.0
X001,Beijing,北京,2022-06-09,1,9.0
X001,Beijing,北京,2022-06-10,2,39.0
X001,Beijing,北京,2022-06-11,3,34.0
X001,Beijing,北京,2022-06-12,4,29.0
X001,Beijing,北京,2022-06-13,5,42.0
X001,Beijing,北京,2022-06-14,6,25.0
X001,Beijing,北京,2022-06-15,7,15.0
X001,Beijing,北京,2022-06-16,8,13.0
X001,Beijing,北京,2022-06-17,9,2.0
X001,Beijing,北京,2022-06-18,10,1.0
X001,Beijing,北京,2022-06-19,11,4.0
X001,Beijing,北京,2022-06-20,12,4.0
X001,Beijing,北京,2022-06-21,13,5.0
X001,Beijing,北京,2022-06-22,14,4.0
X001,Beijing,北京,2022-06-23,15,5.0
X001,Beijing,北京,2022-06-24,16,5.0
X001,Beijing,北京,2022-06-25,17,1.0
X001,Beijing,北京,2022-06-26,18,3.0
X001,Beijing,北京,2022-06-27,19,1.0
X001,Beijing,北京,2022-06-28,20,1.0
X001,Beijing,北京,2022-06-29,21,3.0
X001,Beijing,北京,2022-06-30,22,0.0
X001,Beijing,北京,2022-07-01,23,0.0
X001,Beijing,北京,2022-07-02,24,1.0
X001,Beijing,北京,2022-07-03,25,1.0
X001,Beijing,北京,2022-07-04,26,4.0
X001,Beijing,北京,2022-07-05,27,7.0
X001,Beijing,北京,2022-07-06,28,6.0
X001,Beijing,北京,2022-07-07,29,0.0
X001,Beijing,北京,2022-07-08,30,3.0
X001,Beijing,北京,2022-07-09,31,3.0
X001,Beijing,北京,2022-07-10,32,2.0
X002,Anhui,安徽,2022-06-29,0,1.0
X002,Anhui,安徽,2022-06-30,1,9.0
X002,Anhui,安徽,2022-07-01,2,34.0
X002,Anhui,安徽,2022-07-02,3,61.0
X002,Anhui,安徽,2022-07-03,4,29.0
X002,Anhui,安徽,2022-07-04,5,52.0
X002,Anhui,安徽,2022-07-05,6,81.0
X002,Anhui,安徽,2022-07-06,7,39.0
X002,Anhui,安徽,2022-07-07,8,17.0
X002,Anhui,安徽,2022-07-08,9,25.0
X002,Anhui,安徽,2022-07-09,10,12.0
X002,Anhui,安徽,2022-07-10,11,9.0
X002,Anhui,安徽,2022-07-11,12,5.0
X002,Anhui,安徽,2022-07-12,13,7.0
X002,Anhui,安徽,2022-07-13,14,0.0
