wave_id,province,variant,start,end,duration_days,peak_cases,total_cases,included_strict_peak_gt10,right_censored_at_2022_05_31
W001,Anhui,Alpha,2020-01-22,2020-02-22,32,74.0,989.0,1,0
W002,Beijing,Alpha,2020-01-22,2020-03-14,53,29.0,437.0,1,0
W003,Chongqing,Alpha,2020-01-22,2020-02-24,34,53.0,576.0,1,0
W004,Fujian,Alpha,2020-01-22,2020-02-19,29,24.0,293.0,1,0
W005,Guangdong,Alpha,2020-01-22,2020-03-06,45,99.0,1352.0,1,0
W006,Guangxi,Alpha,2020-01-22,2020-02-25,35,20.0,252.0,1,0
W007,Guizhou,Alpha,2020-01-22,2020-02-17,27,18.0,146.0,1,0
W008,Hainan,Alpha,2020-01-22,2020-02-19,29,19.0,168.0,1,0
W009,Hebei,Alpha,2020-01-22,2020-02-28,38,23.0,318.0,1,0
W010,Henan,Alpha,2020-01-22,2020-02-23,33,109.0,1271.0,1,0
W011,Hubei,Alpha,2020-01-22,2020-03-18,57,14840.0,67800.0,1,0
W012,Hunan,Alpha,2020-01-22,2020-02-23,33,78.0,1016.0,1,0
W013,Jiangsu,Alpha,2020-01-22,2020-02-19,29,39.0,631.0,1,0
W014,Jiangxi,Alpha,2020-01-22,2020-02-19,29,85.0,934.0,1,0
W015,Liaoning,Alpha,2020-01-22,2020-02-16,26,16.0,121.0,1,0
W016,Ningxia,Alpha,2020-01-22,2020-02-15,25,6.0,70.0,0,0
W017,Shandong,Alpha,2020-01-22,2020-02-25,35,40.0,555.0,1,0
W018,Shanghai,Alpha,2020-01-22,2020-02-26,36,34.0,339.0,1,0
W019,Shanxi,Alpha,2020-01-22,2020-02-24,34,19.0,135.0,1,0
W020,Sichuan,Alpha,2020-01-22,2020-02-28,38,35.0,535.0,1,0
W021,Tianjin,Alpha,2020-01-22,2020-02-22,32,12.0,136.0,1,0
W022,Yunnan,Alpha,2020-01-22,2020-02-21,31,18.0,176.0,1,0
W023,Zhejiang,Alpha,2020-01-22,2020-02-22,32,132.0,1179.0,1,0
W024,Gansu,Alpha,2020-01-23,2020-02-13,22,12.0,90.0,1,0
W025,Heilongjiang,Alpha,2020-01-23,2020-02-23,32,50.0,480.0,1,0
W026,Jilin,Alpha,2020-01-23,2020-02-20,29,12.0,91.0,1,0
W027,Shaanxi,Alpha,2020-01-23,2020-02-20,29,24.0,245.0,1,0
W028,Xinjiang,Alpha,2020-01-23,2020-02-21,30,6.0,78.0,0,0
W029,Inner Mongolia,Alpha,2020-01-24,2020-02-19,27,7.0,75.0,0,0
W030,Qinghai,Alpha,2020-01-25,2020-02-06,13,5.0,18.0,0,0
W031,Beijing,Alpha,2020-06-11,2020-07-10,30,42.0,385.0,1,0
W032,Xinjiang,Alpha,2020-07-16,2020-08-15,31,112.0,826.0,1,0
W033,Liaoning,Alpha,2020-07-22,2020-08-05,15,36.0,196.0,1,0
W034,Xinjiang,Alpha,2020-10-24,2020-11-07,15,137.0,430.0,1,0
W035,Liaoning,Alpha,2020-12-15,2021-01-11,28,10.0,124.0,0,0
W036,Hebei,Alpha,2021-01-02,2021-02-03,33,90.0,943.0,1,0
W037,Heilongjiang,Alpha,2021-01-11,2021-02-05,26,68.0,638.0,1,0
W038,Jilin,Alpha,2021-01-16,2021-02-06,22,67.0,416.0,1,0
W039,Yunnan,Alpha,2021-03-30,2021-04-20,22,29.0,118.0,1,0
W040,Guangdong,Delta,2021-05-21,2021-06-21,32,16.0,165.0,1,0
W041,Yunnan,Delta,2021-07-04,2021-07-27,24,15.0,90.0,1,0
W042,Jiangsu,Delta,2021-07-21,2021-08-26,37,61.0,835.0,1,0
W043,Hunan,Delta,2021-07-29,2021-08-15,18,15.0,110.0,1,0
W044,Henan,Delta,2021-07-31,2021-08-14,15,32.0,167.0,1,0
W045,Hubei,Delta,2021-07-31,2021-08-16,17,15.0,90.0,1,0
W046,Yunnan,Delta,2021-07-31,2021-08-13,14,13.0,54.0,1,0
W047,Fujian,Delta,2021-09-10,2021-09-29,20,61.0,482.0,1,0
W048,Heilongjiang,Delta,2021-09-21,2021-10-03,13,15.0,88.0,1,0
W049,Inner Mongolia,Delta,2021-10-13,2021-11-12,31,36.0,189.0,1,0
W050,Gansu,Delta,2021-10-18,2021-11-08,22,17.0,145.0,1,0
W051,Heilongjiang,Delta,2021-10-27,2021-11-15,20,45.0,279.0,1,0
W052,Hebei,Delta,2021-10-31,2021-11-14,15,23.0,131.0,1,0
W053,Henan,Delta,2021-11-02,2021-11-14,13,14.0,85.0,1,0
W054,Liaoning,Delta,2021-11-04,2021-11-27,24,60.0,330.0,1,0
W055,Inner Mongolia,Delta,2021-11-27,2021-12-17,21,93.0,560.0,1,0
W056,Zhejiang,Delta,2021-12-06,2021-12-27,22,77.0,501.0,1,0
W057,Shaanxi,Delta,2021-12-09,2022-01-20,43,180.0,2116.0,1,0
W058,Henan,Delta,2021-12-31,2022-01-26,27,118.0,1048.0,1,0
