wave_id,province,variant,wave_start,day,date,reported_cases
W001,Anhui,Alpha,2020-01-22,0,2020-01-22,1.0
W001,Anhui,Alpha,2020-01-22,1,2020-01-23,8.0
W001,Anhui,Alpha,2020-01-22,2,2020-01-24,6.0
W001,Anhui,Alpha,2020-01-22,3,2020-01-25,24.0
W001,Anhui,Alpha,2020-01-22,4,2020-01-26,21.0
W001,Anhui,Alpha,2020-01-22,5,2020-01-27,10.0
W001,Anhui,Alpha,2020-01-22,6,2020-01-28,36.0
W001,Anhui,Alpha,2020-01-22,7,2020-01-29,46.0
W001,Anhui,Alpha,2020-01-22,8,2020-01-30,48.0
W001,Anhui,Alpha,2020-01-22,9,2020-01-31,37.0
W001,Anhui,Alpha,2020-01-22,10,2020-02-01,60.0
W001,Anhui,Alpha,2020-01-22,11,2020-02-02,43.0
W001,Anhui,Alpha,2020-01-22,12,2020-02-03,68.0
W001,Anhui,Alpha,2020-01-22,13,2020-02-04,72.0
W001,Anhui,Alpha,2020-01-22,14,2020-02-05,50.0
W001,Anhui,Alpha,2020-01-22,15,2020-02-06,61.0
W001,Anhui,Alpha,2020-01-22,16,2020-02-07,74.0
W001,Anhui,Alpha,2020-01-22,17,2020-02-08,68.0
W001,Anhui,Alpha,2020-01-22,18,2020-02-09,46.0
W001,Anhui,Alpha,2020-01-22,19,2020-02-10,51.0
W001,Anhui,Alpha,2020-01-22,20,2020-02-11,30.0
W001,Anhui,Alpha,2020-01-22,21,2020-02-12,29.0
W001,Anhui,Alpha,2020-01-22,22,2020-02-13,21.0
W001,Anhui,Alpha,2020-01-22,23,2020-02-14,24.0
W001,Anhui,Alpha,2020-01-22,24,2020-02-15,16.0
W001,Anhui,Alpha,2020-01-22,25,2020-02-16,12.0
W001,Anhui,Alpha,2020-01-22,26,2020-02-17,11.0
W001,Anhui,Alpha,2020-01-22,27,2020-02-18,9.0
W001,Anhui,Alpha,2020-01-22,28,2020-02-19,4.0
W001,Anhui,Alpha,2020-01-22,29,2020-02-20,1.0
W001,Anhui,Alpha,2020-01-22,30,2020-02-21,1.0
W001,Anhui,Alpha,2020-01-22,31,2020-02-22,1.0
W002,Beijing,Alpha,2020-01-22,0,2020-01-22,14.0
W002,Beijing,Alpha,2020-01-22,1,2020-01-23,8.0
W002,Beijing,Alpha,2020-01-22,2,2020-01-24,14.0
W002,Beijing,Alpha,2020-01-22,3,2020-01-25,5.0
W002,Beijing,Alpha,2020-01-22,4,2020-01-26,27.0
W002,Beijing,Alpha,2020-01-22,5,2020-01-27,12.0
W002,Beijing,Alpha,2020-01-22,6,2020-01-28,11.0
W002,Beijing,Alpha,2020-01-22,7,2020-01-29,20.0
W002,Beijing,Alpha,2020-01-22,8,2020-01-30,3.0
W002,Beijing,Alpha,2020-01-22,9,2020-01-31,25.0
W002,Beijing,Alpha,2020-01-22,10,2020-02-01,29.0
W002,Beijing,Alpha,2020-01-22,11,2020-02-02,23.0
W002,Beijing,Alpha,2020-01-22,12,2020-02-03,21.0
W002,Beijing,Alpha,2020-01-22,13,2020-02-04,16.0
W002,Beijing,Alpha,2020-01-22,14,2020-02-05,25.0
W002,Beijing,Alpha,2020-01-22,15,2020-02-06,21.0
W002,Beijing,Alpha,2020-01-22,16,2020-02-07,23.0
W002,Beijing,Alpha,2020-01-22,17,2020-02-08,18.0
W002,Beijing,Alpha,2020-01-22,18,2020-02-09,11.0
W002,Beijing,Alpha,2020-01-22,19,2020-02-10,11.0
W002,Beijing,Alpha,2020-01-22,20,2020-02-11,5.0
W002,Beijing,Alpha,2020-01-22,21,2020-02-12,10.0
W002,Beijing,Alpha,2020-01-22,22,2020-02-13,14.0
W002,Beijing,Alpha,2020-01-22,23,2020-02-14,6.0
W002,Beijing,Alpha,2020-01-22,24,2020-02-15,3.0
W002,Beijing,Alpha,2020-01-22,25,2020-02-16,5.0
W002,Beijing,Alpha,2020-01-22,26,2020-02-17,1.0
W002,Beijing,Alpha,2020-01-22,27,2020-02-18,6.0
W002,Beijing,Alpha,2020-01-22,28,2020-02-19,6.0
W002,Beijing,Alpha,2020-01-22,29,2020-02-20,2.0
W002,Beijing,Alpha,2020-01-22,30,2020-02-21,1.0
W002,Beijing,Alpha,2020-01-22,31,2020-02-22,3.0
W002,Beijing,Alpha,2020-01-22,32,2020-02-23,0.0
W002,Beijing,Alpha,2020-01-22,33,2020-02-24,0.0
W002,Beijing,Alpha,2020-01-22,34,2020-02-25,1.0
W002,Beijing,Alpha,2020-01-22,35,2020-02-26,0.0
W002,Beijing,Alpha,2020-01-22,36,2020-02-27,10.0
W002,Beijing,Alpha,2020-01-22,37,2020-02-28,0.0
W002,Beijing,Alpha,2020-01-22,38,2020-02-29,1.0
W002,Beijing,Alpha,2020-01-22,39,2020-03-01,2.0
W002,Beijing,Alpha,2020-01-22,40,2020-03-02,1.0
W002,Beijing,Alpha,2020-01-22,41,2020-03-03,0.0
W002,Beijing,Alpha,2020-01-22,42,2020-03-04,4.0
W002,Beijing,Alpha,2020-01-22,43,2020-03-05,0.0
W002,Beijing,Alpha,2020-01-22,44,2020-03-06,4.0
W002,Beijing,Alpha,2020-01-22,45,2020-03-07,4.0
W002,Beijing,Alpha,2020-01-22,46,2020-03-08,2.0
W002,Beijing,Alpha,2020-01-22,47,2020-03-09,0.0
W002,Beijing,Alpha,2020-01-22,48,2020-03-10,1.0
W002,Beijing,Alpha,2020-01-22,49,2020-03-11,6.0
W002,Beijing,Alpha,2020-01-22,50,2020-03-12,0.0
W002,Beijing,Alpha,2020-01-22,51,2020-03-13,1.0
W002,Beijing,Alpha,2020-01-22,52,2020-03-14,1.0
W003,Chongqing,Alpha,2020-01-22,0,2020-01-22,6.0
W003,Chongqing,Alpha,2020-01-22,1,2020-01-23,3.0
W003,Chongqing,Alpha,2020-01-22,2,2020-01-24,18.0
W003,Chongqing,Alpha,2020-01-22,3,2020-01-25,30.0
W003,Chongqing,Alpha,2020-01-22,4,2020-01-26,18.0
W003,Chongqing,Alpha,2020-01-22,5,2020-01-27,35.0
W003,Chongqing,Alpha,2020-01-22,6,2020-01-28,22.0
W003,Chongqing,Alpha,2020-01-22,7,2020-01-29,15.0
W003,Chongqing,Alpha,2020-01-22,8,2020-01-30,35.0
W003,Chongqing,Alpha,2020-01-22,9,2020-01-31,29.0
W003,Chongqing,Alpha,2020-01-22,10,2020-02-01,36.0
W003,Chongqing,Alpha,2020-01-22,11,2020-02-02,53.0
W003,Chongqing,Alpha,2020-01-22,12,2020-02-03,37.0
W003,Chongqing,Alpha,2020-01-22,13,2020-02-04,29.0
W003,Chongqing,Alpha,2020-01-22,14,2020-02-05,23.0
W003,Chongqing,Alpha,2020-01-22,15,2020-02-06,22.0
W003,Chongqing,Alpha,2020-01-22,16,2020-02-07,15.0
W003,Chongqing,Alpha,2020-01-22,17,2020-02-08,2.0
W003,Chongqing,Alpha,2020-01-22,18,2020-02-09,40.0
W003,Chongqing,Alpha,2020-01-22,19,2020-02-10,18.0
W003,Chongqing,Alpha,2020-01-22,20,2020-02-11,19.0
W003,Chongqing,Alpha,2020-01-22,21,2020-02-12,13.0
W003,Chongqing,Alpha,2020-01-22,22,2020-02-13,11.0
W003,Chongqing,Alpha,2020-01-22,23,2020-02-14,8.0
W003,Chongqing,Alpha,2020-01-22,24,2020-02-15,7.0
W003,Chongqing,Alpha,2020-01-22,25,2020-02-16,7.0
W003,Chongqing,Alpha,2020-01-22,26,2020-02-17,2.0
W003,Chongqing,Alpha,2020-01-22,27,2020-02-18,2.0
W003,Chongqing,Alpha,2020-01-22,28,2020-02-19,5.0
W003,Chongqing,Alpha,2020-01-22,29,2020-02-20,7.0
W003,Chongqing,Alpha,2020-01-22,30,2020-02-21,5.0
W003,Chongqing,Alpha,2020-01-22,31,2020-02-22,1.0
W003,Chongqing,Alpha,2020-01-22,32,2020-02-23,2.0
W003,Chongqing,Alpha,2020-01-22,33,2020-02-24,1.0
W004,Fujian,Alpha,2020-01-22,0,2020-01-22,1.0
W004,Fujian,Alpha,2020-01-22,1,2020-01-23,4.0
W004,Fujian,Alpha,2020-01-22,2,2020-01-24,5.0
W004,Fujian,Alpha,2020-01-22,3,2020-01-25,8.0
W004,Fujian,Alpha,2020-01-22,4,2020-01-26,17.0
W004,Fujian,Alpha,2020-01-22,5,2020-01-27,24.0
W004,Fujian,Alpha,2020-01-22,6,2020-01-28,21.0
W004,Fujian,Alpha,2020-01-22,7,2020-01-29,4.0
W004,Fujian,Alpha,2020-01-22,8,2020-01-30,17.0
W004,Fujian,Alpha,2020-01-22,9,2020-01-31,19.0
W004,Fujian,Alpha,2020-01-22,10,2020-02-01,24.0
W004,Fujian,Alpha,2020-01-22,11,2020-02-02,15.0
W004,Fujian,Alpha,2020-01-22,12,2020-02-03,20.0
W004,Fujian,Alpha,2020-01-22,13,2020-02-04,15.0
W004,Fujian,Alpha,2020-01-22,14,2020-02-05,11.0
W004,Fujian,Alpha,2020-01-22,15,2020-02-06,10.0
W004,Fujian,Alpha,2020-01-22,16,2020-02-07,9.0
W004,Fujian,Alpha,2020-01-22,17,2020-02-08,15.0
W004,Fujian,Alpha,2020-01-22,18,2020-02-09,11.0
W004,Fujian,Alpha,2020-01-22,19,2020-02-10,11.0
W004,Fujian,Alpha,2020-01-22,20,2020-02-11,6.0
W004,Fujian,Alpha,2020-01-22,21,2020-02-12,5.0
W004,Fujian,Alpha,2020-01-22,22,2020-02-13,7.0
W004,Fujian,Alpha,2020-01-22,23,2020-02-14,2.0
W004,Fujian,Alpha,2020-01-22,24,2020-02-15,4.0
W004,Fujian,Alpha,2020-01-22,25,2020-02-16,2.0
W004,Fujian,Alpha,2020-01-22,26,2020-02-17,3.0
W004,Fujian,Alpha,2020-01-22,27,2020-02-18,2.0
W004,Fujian,Alpha,2020-01-22,28,2020-02-19,1.0
W005,Guangdong,Alpha,2020-01-22,0,2020-01-22,26.0
W005,Guangdong,Alpha,2020-01-22,1,2020-01-23,6.0
W005,Guangdong,Alpha,2020-01-22,2,2020-01-24,21.0
W005,Guangdong,Alpha,2020-01-22,3,2020-01-25,25.0
W005,Guangdong,Alpha,2020-01-22,4,2020-01-26,33.0
W005,Guangdong,Alpha,2020-01-22,5,2020-01-27,40.0
W005,Guangdong,Alpha,2020-01-22,6,2020-01-28,56.0
W005,Guangdong,Alpha,2020-01-22,7,2020-01-29,70.0
W005,Guangdong,Alpha,2020-01-22,8,2020-01-30,77.0
W005,Guangdong,Alpha,2020-01-22,9,2020-01-31,82.0
W005,Guangdong,Alpha,2020-01-22,10,2020-02-01,99.0
W005,Guangdong,Alpha,2020-01-22,11,2020-02-02,97.0
W005,Guangdong,Alpha,2020-01-22,12,2020-02-03,93.0
W005,Guangdong,Alpha,2020-01-22,13,2020-02-04,88.0
W005,Guangdong,Alpha,2020-01-22,14,2020-02-05,82.0
W005,Guangdong,Alpha,2020-01-22,15,2020-02-06,75.0
W005,Guangdong,Alpha,2020-01-22,16,2020-02-07,64.0
W005,Guangdong,Alpha,2020-01-22,17,2020-02-08,61.0
W005,Guangdong,Alpha,2020-01-22,18,2020-02-09,36.0
W005,Guangdong,Alpha,2020-01-22,19,2020-02-10,28.0
W005,Guangdong,Alpha,2020-01-22,20,2020-02-11,18.0
W005,Guangdong,Alpha,2020-01-22,21,2020-02-12,42.0
W005,Guangdong,Alpha,2020-01-22,22,2020-02-13,22.0
W005,Guangdong,Alpha,2020-01-22,23,2020-02-14,20.0
W005,Guangdong,Alpha,2020-01-22,24,2020-02-15,33.0
W005,Guangdong,Alpha,2020-01-22,25,2020-02-16,22.0
W005,Guangdong,Alpha,2020-01-22,26,2020-02-17,6.0
W005,Guangdong,Alpha,2020-01-22,27,2020-02-18,6.0
W005,Guangdong,Alpha,2020-01-22,28,2020-02-19,3.0
W005,Guangdong,Alpha,2020-01-22,29,2020-02-20,1.0
W005,Guangdong,Alpha,2020-01-22,30,2020-02-21,1.0
W005,Guangdong,Alpha,2020-01-22,31,2020-02-22,6.0
W005,Guangdong,Alpha,2020-01-22,32,2020-02-23,3.0
W005,Guangdong,Alpha,2020-01-22,33,2020-02-24,3.0
W005,Guangdong,Alpha,2020-01-22,34,2020-02-25,2.0
W005,Guangdong,Alpha,2020-01-22,35,2020-02-26,0.0
W005,Guangdong,Alpha,2020-01-22,36,2020-02-27,0.0
W005,Guangdong,Alpha,2020-01-22,37,2020-02-28,1.0
W005,Guangdong,Alpha,2020-01-22,38,2020-02-29,1.0
W005,Guangdong,Alpha,2020-01-22,39,2020-03-01,0.0
W005,Guangdong,Alpha,2020-01-22,40,2020-03-02,1.0
W005,Guangdong,Alpha,2020-01-22,41,2020-03-03,0.0
W005,Guangdong,Alpha,2020-01-22,42,2020-03-04,0.0
