country,date,cumulative_cases,daily_cases_raw_clipped,daily_cases_7d,negative_correction_removed,population,daily_cases_7d_per_million
United States,2020-01-22,1.0,1.0,0.5,-0.0,341534041.0,0.0014639829123211762
United States,2020-01-23,1.0,0.0,1.0,-0.0,341534041.0,0.0029279658246423525
United States,2020-01-24,2.0,1.0,0.8333333333333334,-0.0,341534041.0,0.0024399715205352937
United States,2020-01-25,2.0,0.0,0.7142857142857143,-0.0,341534041.0,0.0020914041604588236
United States,2020-01-26,5.0,3.0,0.7142857142857143,-0.0,341534041.0,0.0020914041604588236
United States,2020-01-27,5.0,0.0,0.7142857142857143,-0.0,341534041.0,0.0020914041604588236
United States,2020-01-28,5.0,0.0,0.8571428571428571,-0.0,341534041.0,0.0025096849925505876
United States,2020-01-29,6.0,1.0,0.8571428571428571,-0.0,341534041.0,0.0025096849925505876
United States,2020-01-30,6.0,0.0,0.42857142857142855,-0.0,341534041.0,0.0012548424962752938
United States,2020-01-31,8.0,2.0,0.8571428571428571,-0.0,341534041.0,0.0025096849925505876
United States,2020-02-01,8.0,0.0,0.8571428571428571,-0.0,341534041.0,0.0025096849925505876
United States,2020-02-02,8.0,0.0,0.7142857142857143,-0.0,341534041.0,0.0020914041604588236
United States,2020-02-03,11.0,3.0,0.8571428571428571,-0.0,341534041.0,0.0025096849925505876
United States,2020-02-04,11.0,0.0,0.5714285714285714,-0.0,341534041.0,0.0016731233283670585
United States,2020-02-05,11.0,0.0,0.5714285714285714,-0.0,341534041.0,0.0016731233283670585
United States,2020-02-06,12.0,1.0,0.5714285714285714,-0.0,341534041.0,0.0016731233283670585
United States,2020-02-07,12.0,0.0,0.14285714285714285,-0.0,341534041.0,0.0004182808320917646
United States,2020-02-08,12.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-09,12.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-10,12.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-11,13.0,1.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-12,13.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-13,14.0,1.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-14,14.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-15,14.0,0.0,0.14285714285714285,-0.0,341534041.0,0.0004182808320917646
United States,2020-02-16,14.0,0.0,0.14285714285714285,-0.0,341534041.0,0.0004182808320917646
United States,2020-02-17,14.0,0.0,0.0,-0.0,341534041.0,0.0
United States,2020-02-18,14.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-19,14.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-20,14.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-21,16.0,2.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-22,16.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-23,16.0,0.0,0.2857142857142857,-0.0,341534041.0,0.0008365616641835292
United States,2020-02-24,16.0,0.0,0.42857142857142855,-0.0,341534041.0,0.0012548424962752938
United States,2020-02-25,16.0,0.0,0.14285714285714285,-0.0,341534041.0,0.0004182808320917646
