wave_id,country,country_code,strategy,variant,variant_era,start,end,peak_date,duration_days,peak_cases_7d,total_cases_7d,peak_cases_per_million,population,source
IT01,Italy,ITA,National lockdown followed by vaccination and certification,Ancestral,pre-variant,2020-02-29,2020-06-30,2020-03-23,123,5650.571428571428,239746.42857142855,94.77786246193341,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT02,Italy,ITA,National lockdown followed by vaccination and certification,Ancestral,pre-variant,2020-08-05,2021-02-01,2020-11-13,181,35072.57142857143,2313767.571428572,588.2773792108092,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT03,Italy,ITA,National lockdown followed by vaccination and certification,Alpha,Alpha,2021-02-02,2021-06-27,2021-03-19,146,23211.85714285714,1695474.4285714286,389.33588073019985,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT04,Italy,ITA,National lockdown followed by vaccination and certification,Delta,Delta,2021-06-28,2021-10-12,2021-08-24,107,6601.285714285715,446974.14285714284,110.72433246962332,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT05,Italy,ITA,National lockdown followed by vaccination and certification,Omicron BA.1,Omicron BA.1,2021-10-13,2022-03-01,2022-01-11,140,181821.7142857143,8129071.857142856,3049.7222532272503,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT06,Italy,ITA,National lockdown followed by vaccination and certification,Omicron BA.2,Omicron BA.2,2022-03-02,2022-05-31,2022-03-21,91,72466.28571428571,4587035.142857143,1215.4876276455018,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT07,Italy,ITA,National lockdown followed by vaccination and certification,Omicron BA.5,Omicron BA.4/BA.5,2022-06-01,2022-09-10,2022-07-11,102,104338.42857142857,4611430.428571427,1750.0837495186286,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
IT08,Italy,ITA,National lockdown followed by vaccination and certification,Omicron BA.5/BQ.1,Omicron descendants,2022-09-11,2022-12-24,2022-10-10,105,42469.857142857145,2949929.9999999995,712.3531363059544,59619106.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP01,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Ancestral,pre-variant,2020-03-04,2020-05-24,2020-04-12,82,545.0,16130.285714285716,4.360084236827455,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP02,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Ancestral,pre-variant,2020-05-25,2020-09-21,2020-08-06,120,1381.142857142857,62918.857142857145,11.049356330707166,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP03,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Ancestral,pre-variant,2020-09-30,2021-02-27,2021-01-08,151,6495.0,348290.0,51.96100388659509,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP04,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Alpha,Alpha,2021-02-28,2021-06-18,2021-05-11,111,6440.571428571428,350527.99999999994,51.525566902523984,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP05,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Delta,Delta,2021-06-19,2021-11-25,2021-08-22,160,23192.0,944373.2857142857,185.53958462477493,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP06,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Omicron BA.1,Omicron BA.1,2021-11-26,2022-05-27,2022-02-06,183,94552.42857142857,7039534.142857143,756.4340428771369,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
JP07,Japan,JPN,Cluster-focused response and voluntary behavioural suppression,Omicron BA.5,Omicron BA.4/BA.5,2022-06-18,2022-11-04,2022-08-21,140,226955.0,13450263.142857142,1815.6750788425234,124997585.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
ZA01,South Africa,ZAF,Mitigation under constrained surveillance and high prior infection,Ancestral,pre-variant,2020-05-11,2020-09-28,2020-07-16,141,12583.714285714286,661831.2857142857,201.73186321342982,62378417.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
ZA02,South Africa,ZAF,Mitigation under constrained surveillance and high prior infection,Beta,Beta,2020-09-30,2021-04-04,2021-01-08,187,19042.0,878536.7142857143,305.26584219025625,62378417.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
ZA03,South Africa,ZAF,Mitigation under constrained surveillance and high prior infection,Delta,Delta,2021-04-05,2021-10-23,2021-07-05,202,19955.714285714286,1367346.8571428573,319.91376577758115,62378417.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
ZA04,South Africa,ZAF,Mitigation under constrained surveillance and high prior infection,Omicron BA.1,Omicron BA.1,2021-11-03,2022-03-30,2021-12-14,148,23437.14285714286,794086.2857142857,375.7251944553652,62378417.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
ZA05,South Africa,ZAF,Mitigation under constrained surveillance and high prior infection,Omicron BA.4/BA.5,Omicron BA.4/BA.5,2022-03-31,2022-06-29,2022-05-08,91,7685.285714285715,276666.7142857143,123.20424409432697,62378417.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR01,South Korea,KOR,Test-trace-isolate with adaptive distancing,Ancestral,pre-variant,2020-02-19,2020-05-02,2020-03-01,74,622.8571428571429,10723.714285714284,12.02832930878585,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR02,South Korea,KOR,Test-trace-isolate with adaptive distancing,Ancestral,pre-variant,2020-05-16,2020-09-30,2020-08-24,138,343.85714285714283,12847.142857142857,6.640410239965031,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR03,South Korea,KOR,Test-trace-isolate with adaptive distancing,Ancestral,pre-variant,2020-10-01,2021-02-06,2020-12-22,129,1047.4285714285713,56969.142857142855,20.227456534866477,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR04,South Korea,KOR,Test-trace-isolate with adaptive distancing,Delta,Delta,2021-06-19,2021-10-19,2021-09-27,123,2663.0,195569.2857142857,51.42662537731124,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR05,South Korea,KOR,Test-trace-isolate with adaptive distancing,Delta,Delta,2021-10-20,2022-01-06,2021-12-14,79,6897.285714285715,310795.7142857143,133.19719434804807,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR06,South Korea,KOR,Test-trace-isolate with adaptive distancing,Omicron BA.1/BA.2,Omicron BA.1/BA.2,2022-01-07,2022-06-21,2022-03-14,166,404997.5714285714,17640559.14285714,7821.125942387531,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR07,South Korea,KOR,Test-trace-isolate with adaptive distancing,Omicron BA.5,Omicron BA.4/BA.5,2022-06-22,2022-10-09,2022-08-19,110,135330.14285714287,6689745.285714285,2613.4331802374386,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
KR08,South Korea,KOR,Test-trace-isolate with adaptive distancing,Omicron descendants,Omicron descendants,2022-10-10,2023-03-04,2022-12-19,146,67411.28571428571,5574521.0,1301.815597683614,51782515.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK01,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Ancestral,pre-variant,2020-03-10,2020-07-03,2020-04-19,116,4867.857142857143,285183.14285714284,71.39785934864766,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK02,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Ancestral/Alpha emergence,Alpha transition,2020-08-05,2020-11-30,2020-11-13,118,25364.428571428572,1327115.0,372.0252773356343,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK03,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Alpha,Alpha,2020-12-01,2021-04-26,2021-01-06,147,59821.57142857143,2792556.571428572,877.4152604579766,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK04,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Delta,Delta,2021-05-17,2021-08-02,2021-07-18,78,47722.142857142855,1468054.0,699.9504594192953,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK05,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Delta,Delta,2021-08-03,2021-11-07,2021-10-20,97,47428.0,3417776.5714285714,695.6362057905686,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK06,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Omicron BA.1,Omicron BA.1,2021-11-08,2022-02-24,2022-01-29,109,197997.57142857142,9536521.000000002,2904.0709990789933,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK07,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Omicron BA.2,Omicron BA.2,2022-02-25,2022-06-02,2022-03-18,98,89333.57142857143,3608405.428571428,1310.2738188051821,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
UK08,United Kingdom,GBR,National suppression followed by vaccine-led reopening,Omicron BA.5,Omicron BA.4/BA.5,2022-06-03,2022-08-21,2022-07-15,80,27810.714285714286,1185064.4285714286,407.90545175929515,68179315.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
US01,United States,USA,Decentralised mitigation and vaccine-led transition,Ancestral,pre-variant,2020-03-16,2020-05-25,2020-04-07,71,32011.0,1661948.1428571427,93.72711401262634,341534041.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
US02,United States,USA,Decentralised mitigation and vaccine-led transition,Ancestral,pre-variant,2020-05-26,2020-09-08,2020-07-21,106,66090.71428571429,4689686.857142856,193.51135275477355,341534041.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
US03,United States,USA,Decentralised mitigation and vaccine-led transition,Ancestral/Alpha transition,Alpha transition,2020-09-30,2021-04-28,2021-01-08,211,251104.57142857142,25144288.285714284,735.2256035543215,341534041.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
US04,United States,USA,Decentralised mitigation and vaccine-led transition,Delta,Delta,2021-06-19,2021-10-23,2021-09-02,127,166399.14285714287,11871592.428571431,487.2110035354949,341534041.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
US05,United States,USA,Decentralised mitigation and vaccine-led transition,Omicron BA.1,Omicron BA.1,2021-10-24,2022-03-31,2022-01-12,159,806962.8571428572,34695920.0,2362.7596674700344,341534041.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
US06,United States,USA,Decentralised mitigation and vaccine-led transition,Omicron BA.5,Omicron BA.4/BA.5,2022-04-05,2022-09-27,2022-07-14,176,135903.7142857143,15865159.142857144,397.9214308705301,341534041.0,Johns Hopkins CSSE confirmed cases; 7-day centred mean
