country,date,new_cases,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,stringency_index,reproduction_rate,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population
China,2020-01-01,,,,,0.0,,,,,,,1425179562.0
China,2020-01-02,,,,,0.0,,,,,,,1425179562.0
China,2020-01-03,,,,,0.0,,,,,,,1425179562.0
China,2020-01-04,1.0,,,,0.0,,,,,,,1425179562.0
China,2020-01-05,0.0,,,,2.78,,,,,,,1425179562.0
China,2020-01-06,3.0,,,,2.78,,,,,,,1425179562.0
China,2020-01-07,0.0,,,,2.78,,,,,,,1425179562.0
China,2020-01-08,0.0,,,,2.78,,,,,,,1425179562.0
China,2020-01-09,0.0,0.6666667,0.0004677773,0.0,2.78,,,,,,,1425179562.0
China,2020-01-10,0.0,0.5714286,0.00040095198,0.0,2.78,,,,,,,1425179562.0
China,2020-01-11,0.0,0.42857143,0.000300714,0.0,2.78,,,,,,,1425179562.0
China,2020-01-12,41.0,6.285714,0.004410472,0.000100237994,2.78,,,,,,,1425179562.0
China,2020-01-13,0.0,5.857143,0.004109758,0.000100237994,2.78,,,,,,,1425179562.0
China,2020-01-14,0.0,5.857143,0.004109758,0.000100237994,2.78,,,,,,,1425179562.0
China,2020-01-15,0.0,5.857143,0.004109758,0.000100237994,8.33,,,,,,,1425179562.0
China,2020-01-16,0.0,5.857143,0.004109758,0.000100237994,8.33,,,,,,,1425179562.0
China,2020-01-17,4.0,6.428571,0.00451071,0.00020047599,8.33,,,,,,,1425179562.0
China,2020-01-18,0.0,6.428571,0.00451071,0.00020047599,8.33,,,,,,,1425179562.0
China,2020-01-19,76.0,11.428572,0.008019039,0.00020047599,8.33,,,,,,,1425179562.0
China,2020-01-20,77.0,22.428572,0.015737366,0.000300714,8.33,,,,,,,1425179562.0
China,2020-01-21,93.0,35.714287,0.025059499,0.00050118996,8.33,,,,,,,1425179562.0
China,2020-01-22,147.0,56.714287,0.039794486,0.0016038079,26.39,,,,,,,1425179562.0
China,2020-01-23,132.0,75.57143,0.0530259,0.0017040459,44.91,3.0428,,,,,,1425179562.0
China,2020-01-24,261.0,112.28571,0.078787066,0.002405712,44.91,3.2823,,,,,,1425179562.0
China,2020-01-25,462.0,178.28572,0.12509702,0.0040095197,47.69,3.4984,,,,,,1425179562.0
China,2020-01-26,688.0,265.7143,0.18644267,0.0053126137,69.91,3.5942,,,,,,1425179562.0
China,2020-01-27,776.0,365.57144,0.25650904,0.007818564,69.91,3.6649,,,,,,1425179562.0
China,2020-01-28,1772.0,605.4286,0.42480862,0.012529749,69.91,3.6832,,,,,,1425179562.0
China,2020-01-29,1464.0,793.5714,0.55682206,0.011627607,69.91,3.2893,,,,,,1425179562.0
China,2020-01-30,1739.0,1023.1429,0.7179045,0.015336413,69.91,3.046,,,,,,1425179562.0
China,2020-01-31,1984.0,1269.2858,0.89061457,0.018744506,69.91,2.8156,,,,,,1425179562.0
China,2020-02-01,2101.0,1503.4286,1.0549047,0.021751646,77.31,2.6768,,,,,,1425179562.0
China,2020-02-02,2590.0,1775.1428,1.2455573,0.03057259,77.31,2.5902,,,,,,1425179562.0
China,2020-02-03,2827.0,2068.1428,1.4511454,0.03438163,77.31,2.3447,,,,,,1425179562.0
China,2020-02-04,3233.0,2276.8572,1.5975932,0.03608568,77.31,2.0972,,,,,,1425179562.0
China,2020-02-05,3892.0,2623.7144,1.840971,0.04310234,77.31,1.9598,,,,,,1425179562.0
China,2020-02-06,3697.0,2903.4285,2.037237,0.046309955,77.31,1.7282,,,,,,1425179562.0
China,2020-02-07,3151.0,3070.1428,2.1542149,0.050620187,77.31,1.6013,,,,,,1425179562.0
China,2020-02-08,3387.0,3253.8572,2.2831209,0.054729946,77.31,1.4784,,,,,,1425179562.0
China,2020-02-09,2653.0,3262.8572,2.2894359,0.05452947,77.31,1.4028,,,,,,1425179562.0
China,2020-02-10,2984.0,3285.2856,2.3051732,0.058839705,75.46,1.3927,,,,,,1425179562.0
China,2020-02-11,2473.0,3176.7144,2.2289922,0.062247794,75.46,1.4072,,,,,,1425179562.0
China,2020-02-12,2022.0,2909.5715,2.0415473,0.05553185,75.46,1.5778,,,,,,1425179562.0
