country,CountryCode,Date,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
China,CHN,20200101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.99,6.85,0.0
China,CHN,20200102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.99,6.85,0.0
China,CHN,20200103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.99,6.85,0.0
China,CHN,20200104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.99,6.85,0.0
China,CHN,20200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.78,10.68,12.2,0.0
China,CHN,20200115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,8.33,13.8,15.77,0.0
China,CHN,20200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,8.33,13.8,15.77,0.0
China,CHN,20200117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,8.33,13.8,15.77,0.0
China,CHN,20200118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,8.33,13.8,15.77,0.0
China,CHN,20200119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,8.33,13.8,15.77,0.0
China,CHN,20200120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,8.33,14.58,16.67,0.0
China,CHN,20200121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,8.33,16.15,18.45,0.0
China,CHN,20200122,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,26.39,27.08,30.95,0.0
China,CHN,20200123,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,44.91,37.5,42.86,0.0
China,CHN,20200124,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,44.91,37.5,42.86,0.0
China,CHN,20200125,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,47.69,39.06,44.64,0.0
China,CHN,20200126,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,69.91,51.56,58.93,0.0
China,CHN,20200127,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,69.91,51.56,58.93,0.0
China,CHN,20200128,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,69.91,55.73,63.69,0.0
China,CHN,20200129,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,69.91,55.73,63.69,0.0
China,CHN,20200130,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,69.91,55.73,63.69,0.0
